Index,Histogram,band_1_mean,band_1_std,band_2_mean,band_2_std,band_3_mean,band_3_std
 894.000,20622.000,  99.871,  10.383,  91.693,  10.419,  87.876,   8.802
 895.000,1581.000, 152.808,  14.583, 138.235,  13.295, 128.257,  13.227
 896.000,  10.000,  33.500,   8.201,  35.900,   7.739,  29.900,   7.867
 897.000,30786.000,  85.663,  10.981,  86.655,  10.363,  80.285,   9.943
 898.000,17520.000,  82.838,  11.600,  83.614,  11.221,  75.663,  10.963
 899.000,  14.000,  31.429,  15.900,  37.214,  15.530,  26.714,  16.126
 900.000,   4.000,  16.750,   7.013,  12.750,   7.013,  13.750,   7.013
 901.000,13006.000,  88.388,   8.308,  91.490,   7.806,  81.468,   7.504
 902.000,29456.000,  87.085,   9.899,  87.531,   9.422,  81.082,   9.162
 903.000,   3.000,  15.000,   7.789,  25.000,   5.354,  12.333,   6.944
 904.000,13166.000,  88.401,   9.451,  87.909,   9.491,  81.436,   8.737
 905.000,   9.000,  39.444,  14.104,  32.444,  13.533,  32.778,  13.710
 906.000,13686.000,  93.789,   8.708,  86.691,   8.279,  85.457,   7.869
 907.000,  14.000,  31.571,   9.037,  23.857,   9.702,  24.214,   9.057
 908.000,12950.000,  87.017,  10.415,  84.314,  10.072,  78.899,   9.623
 909.000,  11.000,  28.273,  13.129,  29.727,  12.707,  27.000,  12.912
 910.000,  10.000,  39.400,  12.330,  37.500,  12.956,  35.200,  13.189
 911.000,10585.000,  95.067,  10.220,  94.518,   9.844,  85.314,   9.489
 912.000,  10.000,  29.600,   9.718,  45.300,   9.477,  28.000,   9.088
 913.000,22638.000, 111.024,   9.946, 100.893,   8.289,  96.137,   8.009
 914.000,14581.000,  93.954,  12.713,  90.024,  11.068,  83.814,  10.743
 915.000,  73.000,  38.151,  15.899,  44.000,  15.974,  37.055,  15.794
 916.000,18278.000, 106.864,  12.787, 100.003,  10.774,  94.328,  10.849
 917.000,   5.000,  23.400,  11.271,  28.400,  11.271,  21.400,  11.271
 918.000,   6.000,  23.667,  18.714,  36.333,  18.291,  20.333,  19.568
 919.000,   3.000,  19.333,   5.558,  20.333,   5.558,  12.333,   5.558
 920.000,   9.000,  30.778,  13.481,  35.111,  13.034,  28.111,  13.034
 921.000,  45.000, 152.178,  12.850, 139.733,  11.678, 134.044,  12.022
 922.000,   2.000,  21.500,   0.500,  24.500,   0.500,  15.500,   0.500
 923.000,31759.000,  68.863,  12.980,  68.524,  13.344,  63.872,  12.670
 924.000,14001.000, 101.224,  12.305,  91.593,  10.335,  88.299,  10.304
 925.000,   7.000,  51.571,  11.069,  48.286,  11.003,  41.429,  11.031
 926.000,34850.000,  86.983,  11.707,  85.414,  11.068,  79.903,  10.715
 927.000,   7.000,  27.714,   9.114,  22.571,   9.590,  21.857,   8.935
 928.000,  20.000,  34.850,  19.535,  36.150,  19.024,  32.300,  18.995
 929.000,   4.000,  42.250,  11.121,  40.750,  11.121,  36.500,  11.147
 930.000,   3.000,  20.000,   8.832,  32.333,   7.930,  14.000,   9.092
 931.000,10906.000,  75.682,  13.029,  77.148,  13.533,  69.023,  12.593
 932.000,10547.000,  74.852,  11.195,  76.444,  11.448,  70.783,  10.932
 933.000,13402.000, 101.098,  12.155,  92.543,  10.236,  88.009,   9.906
 934.000,   6.000,  46.167,  15.550,  52.833,  14.803,  38.500,  15.174
 935.000,   2.000,   8.000,   1.000,  13.000,   1.000,   6.000,   1.000
 936.000,16526.000, 103.976,  10.990,  97.820,  10.233,  91.565,   9.909
 937.000,   5.000,  42.600,   8.935,  46.600,   7.889,  32.800,   8.085
 938.000,   2.000,  16.000,   9.000,  15.500,   9.500,   9.000,   8.000
 939.000,20933.000,  80.160,  12.546,  76.886,  12.396,  72.497,  11.767
 940.000,12281.000,  90.870,   9.697,  86.658,   8.688,  81.693,   8.761
 941.000,11719.000,  98.251,  11.109,  96.626,  10.314,  88.955,  10.234
 942.000,20841.000,  91.650,   9.990,  90.913,   9.320,  81.848,   9.102
 943.000,41232.000,  83.098,  12.510,  77.891,  12.582,  75.511,  11.586
 944.000,  19.000,  41.263,  15.808,  39.526,  15.869,  39.105,  15.269
 945.000,   4.000,  56.000,   2.550,  53.000,   2.550,  48.000,   2.550
 946.000,13339.000,  95.558,  11.069,  92.956,  10.014,  87.288,   9.868
 947.000,11825.000, 108.396,   8.020,  92.255,   8.170,  95.729,   7.353
 948.000,20250.000,  97.117,   7.776,  94.689,   7.246,  87.739,   6.938
 949.000,21056.000,  80.303,  10.191,  84.633,  10.537,  75.082,   9.581
 950.000,   7.000,  42.143,  14.136,  41.143,  14.136,  39.143,  14.136
 951.000,21991.000,  86.413,  10.104,  84.927,   9.584,  77.855,   9.519
 952.000,12290.000,  91.742,  10.970,  90.264,   9.689,  82.025,   9.914
 953.000,30839.000,  92.982,  10.208,  91.891,  10.085,  84.280,   9.227
 954.000,17417.000,  92.713,  12.934,  89.281,  11.375,  82.979,  10.845
 955.000,25326.000,  98.743,   9.212,  95.431,   8.290,  87.585,   8.163
 956.000,   3.000,  21.667,  11.441,  32.667,  11.441,  18.667,  11.441
